GDSC1000 cosmic id,GDSC1000 name,CCLE name
906794,A253,A253_SALIVARY_GLAND
910916,CAL-27,CAL27_UPPER_AERODIGESTIVE_TRACT
906837,Detroit562,DETROIT562_UPPER_AERODIGESTIVE_TRACT
906863,FADU,FADU_UPPER_AERODIGESTIVE_TRACT
753562,HSC-2,HSC2_UPPER_AERODIGESTIVE_TRACT
910701,SCC-25,SCC25_UPPER_AERODIGESTIVE_TRACT
909709,SCC-9,SCC9_UPPER_AERODIGESTIVE_TRACT
753573,KYSE-140,KYSE140_OESOPHAGUS
907317,KYSE-150,KYSE150_OESOPHAGUS
907318,KYSE-180,KYSE180_OESOPHAGUS
753574,KYSE-410,KYSE410_OESOPHAGUS
907320,KYSE-450,KYSE450_OESOPHAGUS
907321,KYSE-510,KYSE510_OESOPHAGUS
753575,KYSE-520,KYSE520_OESOPHAGUS
753576,KYSE-70,KYSE70_OESOPHAGUS
1298359,OE21,OE21_OESOPHAGUS
910549,OE33,OE33_OESOPHAGUS
753621,TE-1,TE1_OESOPHAGUS
946354,TE-11,TE11_OESOPHAGUS
753614,TE-15,TE15_OESOPHAGUS
735784,TE-5,TE5_OESOPHAGUS
946355,TE-6,TE617T_SOFT_TISSUE
946353,TE-9,TE9_OESOPHAGUS
907053,HEL,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
907278,KG-1,KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
910947,OCI-AML2,OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
1330983,OCI-AML5,OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
909253,P31-FUJ,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
909715,SIG-M5,SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
907273,KARPAS-299,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
1331040,SUP-M2,SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
909696,REH,REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
906842,DOHH-2,DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
1303897,GRANTA-519,GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
907274,KARPAS-422,KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
907799,MC116,MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
1331033,SU-DHL-10,SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
1331035,SU-DHL-4,SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
1331037,SU-DHL-6,SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
1331038,SU-DHL-8,SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
910706,BL-41,BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
906846,EB2,EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
909262,Raji,RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
906855,EM-2,EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
1330931,KCL-22,KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
907311,KU812,KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
908126,MEG-01,MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
1295741,AMO-1,AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
1327775,KARPAS-620,KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
907050,HD-MY-Z,HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
907322,L-428,L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
906800,697,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
908147,MOLT-16,MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
909251,P12-ICHIKAWA,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
909702,RPMI-8402,RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
909743,SUP-T1,SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
906836,DEL,DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
907270,JVM-3,JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
907281,KMS-12-BM,KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
924239,L-363,L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
907791,LP-1,LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
1330950,MOLP-8,MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
909249,OPM-2,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
753612,SK-MM-2,SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
1295740,ALL-SIL,ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
907056,HH,HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
998184,Jurkat,JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
909717,SJSA-1,SJSA1_BONE
1290765,CAL-78,CAL78_BONE
684072,SK-ES-1,SKES1_BONE
1240221,TC-71,TC71_BONE
907060,HOS,HOS_BONE
908131,MG-63,MG63_BONE
909707,Saos-2,SAOS2_BONE
909776,U-2-OS,U2OS_BONE
910704,AU565,AU565_BREAST
906801,BT-20,BT20_BREAST
946359,BT-474,BT474_BREAST
905951,BT-549,BT549_BREAST
910852,CAL-85-1,CAL851_BREAST
946382,CAMA-1,CAMA1_BREAST
906851,EFM-19,EFM19_BREAST
749711,HCC1187,HCC1187_BREAST
749712,HCC1395,HCC1395_BREAST
907046,HCC1569,HCC1569_BREAST
907047,HCC1806,HCC1806_BREAST
749709,HCC1954,HCC1954_BREAST
907048,HCC70,HCC70_BREAST
1290922,HDQ-P1,HDQP1_BREAST
905957,Hs-578-T,HS578T_BREAST
905946,MCF7,MCF7_BREAST
925338,MDA-MB-157,MDAMB157_BREAST
924240,MDA-MB-415,MDAMB415_BREAST
1240172,MDA-MB-436,MDAMB436_BREAST
908122,MDA-MB-453,MDAMB453_BREAST
908123,MDA-MB-468,MDAMB468_BREAST
905945,T47D,T47D_BREAST
910910,UACC-812,UACC812_BREAST
909907,ZR-75-30,ZR7530_BREAST
907069,HuCCT1,HUCCT1_BILIARY_TRACT
910700,C2BBe1,C2BBE1_LARGE_INTESTINE
1240123,CCK-81,CCK81_LARGE_INTESTINE
905961,COLO-205,COLO205_LARGE_INTESTINE
910689,COLO-678,COLO678_LARGE_INTESTINE
1290907,HCC-56,HCC56_LARGE_INTESTINE
905936,HCT-116,HCT116_LARGE_INTESTINE
905937,HCT-15,HCT15_LARGE_INTESTINE
905939,HT-29,HT29_LARGE_INTESTINE
907792,LS-123,LS123_LARGE_INTESTINE
907794,LS-411N,LS411N_LARGE_INTESTINE
907795,LS-513,LS513_LARGE_INTESTINE
908457,NCI-H747,NCIH747_LARGE_INTESTINE
909698,RKO,RKO_LARGE_INTESTINE
909718,SK-CO-1,SKCO1_LARGE_INTESTINE
909740,SNU-C2B,SNUC2B_LARGE_INTESTINE
909747,SW1417,SW1417_LARGE_INTESTINE
909751,SW48,SW48_LARGE_INTESTINE
909761,T84,T84_LARGE_INTESTINE
910850,C3A,C3A_LIVER
907057,HLE,HLE_LIVER
1298146,huH-1,HUH1_LIVER
1240159,JHH-6,JHH6_LIVER
1240160,JHH-7,JHH7_LIVER
909719,SK-HEP-1,SKHEP1_LIVER
1240216,SNU-182,SNU182_LIVER
909736,SNU-387,SNU387_LIVER
1240217,SNU-398,SNU398_LIVER
909737,SNU-423,SNU423_LIVER
909738,SNU-449,SNU449_LIVER
909739,SNU-475,SNU475_LIVER
1290806,FU97,FU97_STOMACH
906869,GCIY,GCIY_STOMACH
907055,HGC-27,HGC27_STOMACH
1240151,Hs746T,HS746T_STOMACH
1240155,IM-95,IM95_STOMACH
925340,MKN45,MKN45_STOMACH
924250,MKN7,MKN7_STOMACH
908461,NCI-N87,NCIN87_STOMACH
908455,NUGC-3,NUGC3_STOMACH
1298357,NUGC-4,NUGC4_STOMACH
1298358,OCUM-1,OCUM1_STOMACH
1240209,RERF-GC-1B,RERFGC1B_STOMACH
909744,SW13,SW1353_BONE
910922,769-P,769P_KIDNEY
905950,ACHN,ACHN_KIDNEY
910698,BFTC-909,BFTC909_KIDNEY
907299,G-401,G401_SOFT_TISSUE
1298168,KMRC-1,KMRC1_KIDNEY
909781,VMRC-RCZ,VMRCRCZ_KIDNEY
905949,A549,A549_LUNG
687777,Calu-3,CALU3_LUNG
724859,Calu-6,CALU6_LUNG
906805,COR-L105,CORL105_LUNG
1240145,HCC-44,HCC44_LUNG
1290908,HCC-78,HCC78_LUNG
1240146,HCC-827,HCC827_LUNG
724866,NCI-H1355,NCIH1355_LUNG
753600,NCI-H1563,NCIH1563_LUNG
1298348,NCI-H1568,NCIH1568_LUNG
908472,NCI-H1573,NCIH1573_LUNG
687799,NCI-H1648,NCIH1648_LUNG
687800,NCI-H1650,NCIH1650_LUNG
910900,NCI-H1651,NCIH1651_LUNG
908473,NCI-H1666,NCIH1666_LUNG
687802,NCI-H1693,NCIH1693_LUNG
908474,NCI-H1703,NCIH1703_LUNG
724868,NCI-H1792,NCIH1792_LUNG
908463,NCI-H1793,NCIH1793_LUNG
1240185,NCI-H1944,NCIH1944_LUNG
924244,NCI-H1975,NCIH1975_LUNG
724873,NCI-H2009,NCIH2009_LUNG
1240187,NCI-H2023,NCIH2023_LUNG
722045,NCI-H2030,NCIH2030_LUNG
687812,NCI-H2085,NCIH2085_LUNG
724834,NCI-H2087,NCIH2087_LUNG
722046,NCI-H2122,NCIH2122_LUNG
687816,NCI-H2228,NCIH2228_LUNG
905942,NCI-H23,NCIH23_LUNG
908465,NCI-H358,NCIH358_LUNG
908460,NCI-H441,NCIH441_LUNG
905944,NCI-H522,NCIH522_LUNG
722066,NCI-H650,NCIH650_LUNG
753608,PC-14,PC14_LUNG
910931,RERF-LC-MS,RERFLCMS_LUNG
909721,SK-LU-1,SKLU1_LUNG
724878,SW1573,SW1573_LUNG
724855,NCI-H727,NCIH727_LUNG
687780,COR-L23,CORL23_LUNG
910779,IA-LM,IALM_LUNG
753586,LCLC-103H,LCLC103H_LUNG
908467,NCI-H1155,NCIH1155_LUNG
724831,NCI-H1299,NCIH1299_LUNG
908471,NCI-H1581,NCIH1581_LUNG
1240184,NCI-H1915,NCIH1915_LUNG
687829,NCI-H661,NCIH661_LUNG
925341,NCI-H810,NCIH810_LUNG
753540,CAL-12T,CAL12T_LUNG
1298353,NCI-H2172,NCIH2172_LUNG
1298356,NCI-H2444,NCIH2444_LUNG
1240191,NCI-H647,NCIH647_LUNG
753554,EBC-1,EBC1_LUNG
1240142,HARA,HARA_LUNG
1240143,HCC-15,HCC15_LUNG
753569,KNS-62,KNS62_LUNG
1298223,LC-1-sq,LC1SQSF_LUNG
1298226,LOU-NH91,LOUNH91_LUNG
1240183,NCI-H1869,NCIH1869_LUNG
687815,NCI-H2170,NCIH2170_LUNG
905941,NCI-H226,NCIH226_LUNG
908443,NCI-H520,NCIH520_LUNG
909728,SK-MES-1,SKMES1_LUNG
724879,SW900,SW900_LUNG
687983,DMS-114,DMS114_LUNG
687995,NCI-H1048,NCIH1048_LUNG
687997,NCI-H1092,NCIH1092_LUNG
1330964,NCI-H1341,NCIH1341_LUNG
688006,NCI-H1694,NCIH1694_LUNG
1240189,NCI-H211,NCIH211_LUNG
713880,SBC-5,SBC5_LUNG
907173,IST-MES1,ISTMES1_PLEURA
908150,MPP-89,MPP89_PLEURA
908152,MSTO-211H,MSTO211H_PLEURA
688058,NCI-H2052,NCIH2052_PLEURA
908462,NCI-H2452,NCIH2452_PLEURA
908470,NCI-H28,NCIH28_PLEURA
687561,42-MG-BA,42MGBA_CENTRAL_NERVOUS_SYSTEM
687562,8-MG-BA,8MGBA_CENTRAL_NERVOUS_SYSTEM
687563,A172,A172_CENTRAL_NERVOUS_SYSTEM
910943,CAS-1,CAS1_CENTRAL_NERVOUS_SYSTEM
906835,DBTRG-05MG,DBTRG05MG_CENTRAL_NERVOUS_SYSTEM
906839,DK-MG,DKMG_CENTRAL_NERVOUS_SYSTEM
906868,GAMG,GAMG_CENTRAL_NERVOUS_SYSTEM
687568,GB-1,GB1_CENTRAL_NERVOUS_SYSTEM
906871,GI-1,GI1_CENTRAL_NERVOUS_SYSTEM
906873,GMS-10,GMS10_CENTRAL_NERVOUS_SYSTEM
907042,H4,H4_CENTRAL_NERVOUS_SYSTEM
1240150,Hs683,HS683_CENTRAL_NERVOUS_SYSTEM
907271,KALS-1,KALS1_CENTRAL_NERVOUS_SYSTEM
907282,KNS-42,KNS42_CENTRAL_NERVOUS_SYSTEM
1240168,LN-18,LN18_CENTRAL_NERVOUS_SYSTEM
1240169,LN-229,LN229_CENTRAL_NERVOUS_SYSTEM
949094,M059J,M059J_CENTRAL_NERVOUS_SYSTEM
908144,MOG-G-CCM,MOGGCCM_CENTRAL_NERVOUS_SYSTEM
909712,SF126,SF126_CENTRAL_NERVOUS_SYSTEM
905985,SF295,SF295_CENTRAL_NERVOUS_SYSTEM
909745,SW1088,SW1088_CENTRAL_NERVOUS_SYSTEM
687586,T98G,T98G_CENTRAL_NERVOUS_SYSTEM
687588,U-118-MG,U118MG_CENTRAL_NERVOUS_SYSTEM
687590,U-87-MG,U87MG_CENTRAL_NERVOUS_SYSTEM
687592,YKG-1,YKG1_CENTRAL_NERVOUS_SYSTEM
906833,Daoy,DAOY_CENTRAL_NERVOUS_SYSTEM
909248,ONS-76,ONS76_CENTRAL_NERVOUS_SYSTEM
906820,CHP-212,CHP212_AUTONOMIC_GANGLIA
753618,KELLY,KELLY_AUTONOMIC_GANGLIA
753620,SIMA,SIMA_AUTONOMIC_GANGLIA
724828,SK-N-AS,SKNAS_AUTONOMIC_GANGLIA
688086,SK-N-DZ,SKNDZ_AUTONOMIC_GANGLIA
688087,SK-N-FI,SKNFI_AUTONOMIC_GANGLIA
717431,SK-N-SH,SKNSH_AUTONOMIC_GANGLIA
910702,AsPC-1,ASPC1_PANCREAS
906693,BxPC-3,BXPC3_PANCREAS
910915,Capan-2,CAPAN2_PANCREAS
1298136,HPAC,HPAC_PANCREAS
724869,HPAF-II,HPAFII_PANCREAS
1298141,Hs766T,HS766T_PANCREAS
907285,HuP-T3,HUPT3_PANCREAS
907286,HuP-T4,HUPT4_PANCREAS
1298216,KP-1N,KP1N_PANCREAS
1298219,KP-3,KP3_PANCREAS
753572,KP-4,KP4_PANCREAS
724870,MIA-PaCa-2,MIAPACA2_PANCREAS
1298475,PANC-02-03,PANC0203_PANCREAS
925346,PANC-03-27,PANC0327_PANCREAS
1298476,PANC-04-03,PANC0403_PANCREAS
925348,PANC-10-05,PANC1005_PANCREAS
1298526,PA-TU-8902,PATU8902_PANCREAS
1298533,PL4,PL45_PANCREAS
910546,PSN1,PSN1_PANCREAS
1298534,QGP-1,QGP1_PANCREAS
1240218,SU8686,SU8686_PANCREAS
1240219,SUIT-2,SUIT2_PANCREAS
910907,SW1990,SW1990_PANCREAS
906792,A2058,A2058_SKIN
906793,A375,A375_SKIN
906830,C32,C32_SKIN
910853,CHL-1,CHL1_SKIN
906818,COLO-679,COLO679_SKIN
906865,G-361,G361_SKIN
907067,HT-144,HT144_SKIN
1240153,IGR-37,IGR37_SKIN
907171,IPC-298,IPC298_SKIN
905974,LOXIMVI,LOXIMVI_SKIN
908124,MEL-HO,MELHO_SKIN
908128,Mewo,MEWO_SKIN
910903,RPMI-7951,RPMI7951_SKIN
909706,RVH-421,RVH421_SKIN
905955,SK-MEL-2,SKMEL2_SKIN
909725,SK-MEL-24,SKMEL24_SKIN
909726,SK-MEL-30,SKMEL30_SKIN
909727,SK-MEL-31,SKMEL31_SKIN
905956,SK-MEL-5,SKMEL5_SKIN
905977,UACC-257,UACC257_SKIN
905976,UACC-62,UACC62_SKIN
909784,WM-115,WM115_SKIN
907064,HT-1080,HT1080_SOFT_TISSUE
910784,A204,A204_SOFT_TISSUE
684052,A673,A673_BONE
1240166,KYM-1,KYM1_SOFT_TISSUE
909264,RD,RD_SOFT_TISSUE
909716,SJRH30,SJRH30_SOFT_TISSUE
907298,G-402,G402_SOFT_TISSUE
906999,GCT,GCT_SOFT_TISSUE
909720,SK-LMS-1,SKLMS1_SOFT_TISSUE
906795,8305C,8305C_THYROID
924102,8505C,8505C_THYROID
924104,BCPAP,BCPAP_THYROID
1240223,TT2609-C02,TT2609C02_THYROID
687452,5637,5637_URINARY_TRACT
906798,639-V,639V_URINARY_TRACT
907065,HT-1197,HT1197_URINARY_TRACT
907066,HT-1376,HT1376_URINARY_TRACT
753566,J82,J82_URINARY_TRACT
909704,RT-112,RT112_URINARY_TRACT
687455,RT4,RT4_URINARY_TRACT
687457,SW780,SW780_URINARY_TRACT
724812,T-24,T24_URINARY_TRACT
687459,TCCSUP,TCCSUP_URINARY_TRACT
724838,UM-UC-3,UMUC3_URINARY_TRACT
910781,AN3-CA,AN3CA_ENDOMETRIUM
1240127,EN,EN_ENDOMETRIUM
907000,ESS-1,ESS1_ENDOMETRIUM
924187,KLE,KLE_ENDOMETRIUM
908129,MFE-280,MFE280_ENDOMETRIUM
908130,MFE-296,MFE296_ENDOMETRIUM
1240174,MFE-319,MFE319_ENDOMETRIUM
909735,SNG-M,SNGM_ENDOMETRIUM
906804,A2780,A2780_OVARY
911905,EFO-21,EFO21_OVARY
906852,EFO-27,EFO27_OVARY
1240128,ES-2,ES2_OVARY
1240129,FU-OV-1,FUOV1_OVARY
905968,IGROV-1,IGROV1_OVARY
1479995,JHOS-2,JHOS2_OVARY
1480359,JHOS-4,JHOS4_OVARY
909975,KURAMOCHI,KURAMOCHI_OVARY
909257,OC-314,OC314_OVARY
1240197,OV-90,OV90_OVARY
905990,OVCAR-4,OVCAR4_OVARY
905991,OVCAR-8,OVCAR8_OVARY
1298365,OVTOKO,OVTOKO_OVARY
1298539,RKN,RKN_OVARY
905959,SK-OV-3,SKOV3_OVARY
1299070,TOV-112D,TOV112D_OVARY
1240222,TOV-21G,TOV21G_OVARY
909774,TYK-nu,TYKNU_OVARY
924100,22RV1,22RV1_PROSTATE
905935,DU-145,DU145_PROSTATE
905934,PC-3,PC3_PROSTATE
908127,MES-SA,MESSA_SOFT_TISSUE
1240215,SKN,SKNBE2_AUTONOMIC_GANGLIA
910566,CMK,CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
907063,HT,HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
1327768,JM1,JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
908134,MHH-ES-1,MHHES1_BONE
905962,SW620,SW620_LARGE_INTESTINE
1240157,JHH-2,JHH2_LIVER
1240158,JHH-4,JHH4_LIVER
724872,SHP-77,SHP77_LUNG
1299062,SW1271,SW1271_LUNG
930082,RL95-2,RL952_ENDOMETRIUM
1479987,DOV13,DOV13_OVARY
1479988,Hey,HEYA8_OVARY
1659817,KMS-11,KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
713869,VMRC-LCD,VMRCLCD_LUNG
908120,MDA-MB-175-VII,MDAMB175VII_BREAST
1240224,VMRC-RCW,VMRCRCW_KIDNEY
905943,NCI-H460,NCIH460_LUNG
1298144,Hs939-T,HS939T_SKIN
1298218,KP-2,KP2_PANCREAS
910569,COLO-320-HSR,COLO320_LARGE_INTESTINE
1298169,KMRC-20,KMRC2_KIDNEY
924188,KNS-81-FD,KNS81_CENTRAL_NERVOUS_SYSTEM
907796,LU-99A,LU99_LUNG
905967,NCI-H322M,NCIH322_LUNG
1299081,WM793B,WM793_SKIN
905947,786-0,786O_KIDNEY
949094,M059J,M059J_CENTRAL_NERVOUS_SYSTEM
905933,OVCAR-3,NIHOVCAR3_OVARY
909740,SNU-C2B,SNUC2B_LARGE_INTESTINE