sample,COSMIC,GDSC1,GDSC2,TCGA,MSI,medium,growth
A253,906794,aero_dig_tract,head and neck,,MSS/MSI-L,D/F12,Adherent
BB30-HNC,753531,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
BB49-HNC,753532,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
BHY,753535,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
BICR10,1290724,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
BICR22,1240121,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
BICR31,1290725,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
BICR78,1240122,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
Ca9-22,753538,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
CAL-27,910916,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
CAL-33,753541,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
Detroit562,906837,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
DOK,910936,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
FADU,906863,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
H3118,1240140,aero_dig_tract,head and neck,,MSS/MSI-L,R,Adherent
HN,907059,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
HO-1-N-1,924111,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12+10,Adherent
HO-1-u-1,753561,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12+10,Adherent
HSC-2,753562,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
HSC-3,907061,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
HSC-4,907062,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
JHU-011,1240161,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent
JHU-022,1240162,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent
KON,1298215,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
KOSC-2,753570,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent
LB771-HNC,753583,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
OSC-19,1298362,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
OSC-20,1240196,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
PCI-15A,1240204,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent
PCI-30,1298529,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent
PCI-38,1240205,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent
PCI-4B,1298531,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent
PCI-6A,1240206,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent
PE/CA-PJ15,1240207,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
RPMI-2650,909700,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
SAS,909708,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
SAT,1299050,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent
SCC-15,910911,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
SCC-25,910701,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
SCC-4,910904,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12+10,Adherent
SCC-9,909709,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
SKN-3,1299059,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent
COLO-680N,906817,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent
EC-GI-10,753555,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent
ESO26,1503366,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent
ESO51,1503367,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Semi-Adherent
FLO-1,1503361,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent
HCE-4,753559,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent
KYAE-1,1503368,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Suspension
KYSE-140,753573,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent
KYSE-150,907317,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent
KYSE-180,907318,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent
KYSE-220,1240167,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent
KYSE-270,907319,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent
KYSE-410,753574,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent
KYSE-450,907320,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent
KYSE-50,1298222,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent
KYSE-510,907321,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent
KYSE-520,753575,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent
KYSE-70,753576,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent
OACM5-1,1503363,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Semi-Adherent
OACp4C,1503362,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent
OE19,910079,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent
OE21,1298359,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent
OE33,910549,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent
SK-GT-4,1503365,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent
TE-1,753621,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent
TE-10,753622,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent
TE-11,946354,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent
TE-12,946356,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Suspension
TE-15,753614,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Suspension
TE-4,1503371,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent
TE-5,735784,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent
TE-6,946355,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent
TE-8,753623,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent
TE-9,946353,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent
T-T,1299064,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent
CESS,910688,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension
CTV-1,753548,leukemia,acute_myeloid_leukaemia,LAML,MSI-H,R,Suspension
GDM-1,906870,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension
HEL,907053,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Semi-Adherent
HL-60,905938,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,D/F12,Suspension
KASUMI-1,907275,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension
KG-1,907278,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,D/F12,Suspension
KMOE-2,907280,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension
ME-1,1330942,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension
ML-2,908141,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension
MOLM-13,1330947,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension
MONO-MAC-6,908148,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension
NKM-1,908448,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension
NOMO-1,908451,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension
OCI-AML2,910947,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,D/F12,Suspension
OCI-AML3,1290455,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension
OCI-AML5,1330983,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,D/F12,Suspension
OCI-M1,1330985,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,D/F12,Suspension
P31-FUJ,909253,leukemia,acute_myeloid_leukaemia,LAML,MSI-H,R,Suspension
PL-21,1330991,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension
QIMR-WIL,910545,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,D/F12,Suspension
SIG-M5,909715,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,D/F12,Suspension
THP-1,909771,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension
KARPAS-299,907273,lymphoma,anaplastic_large_cell_lymphoma,,MSS/MSI-L,R,Suspension
SU-DHL-1,909742,lymphoma,anaplastic_large_cell_lymphoma,,MSS/MSI-L,R,Suspension
SUP-M2,1331040,lymphoma,anaplastic_large_cell_lymphoma,,MSS/MSI-L,R,Suspension
BALL-1,910705,leukemia,B_cell_leukemia,,MSS/MSI-L,R,Suspension
KARPAS-231,1327774,leukemia,B_cell_leukemia,,MSS/MSI-L,R,Suspension
KOPN-8,1330933,leukemia,B_cell_leukemia,,MSS/MSI-L,R,Suspension
MHH-CALL-2,908132,leukemia,B_cell_leukemia,,MSS/MSI-L,R,Suspension
MHH-PREB-1,908136,leukemia,B_cell_leukemia,,MSI-H,R,Suspension
MN-60,908143,leukemia,B_cell_leukemia,,MSI-H,D/F12,Suspension
NALM-6,908158,leukemia,B_cell_leukemia,,MSI-H,R,Suspension
RCH-ACV,1330994,leukemia,B_cell_leukemia,,MSS/MSI-L,R,Suspension
REH,909696,leukemia,B_cell_leukemia,,MSI-H,R,Suspension
ROS-50,1331025,leukemia,B_cell_leukemia,,MSS/MSI-L,R,Suspension
SUP-B8,910209,leukemia,B_cell_leukemia,,MSS/MSI-L,R,Suspension
U-698-M,909777,leukemia,B_cell_leukemia,,MSS/MSI-L,R,Suspension
A3-KAW,910935,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
A4-Fuk,910934,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
BC-1,910919,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
CRO-AP2,906807,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
CTB-1,949088,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
DB,906832,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
DOHH-2,906842,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
Farage,1297449,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
GRANTA-519,1303897,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,D/F12,Suspension
JEKO-1,1327765,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
JSC-1,1327769,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
KARPAS-1106P,1327773,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
KARPAS-422,907274,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
MC116,907799,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
NU-DUL-1,1330982,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
OCI-LY-19,1330984,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,D/F12,Suspension
RC-K8,1330995,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
RL,910861,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
SCC-3,910930,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
SLVL,1331032,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
SU-DHL-10,1331033,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
SU-DHL-16,1331034,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
SU-DHL-4,1331035,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
SU-DHL-5,1331036,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
SU-DHL-6,1331037,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
SU-DHL-8,1331038,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
TK,1331045,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
TUR,909773,lymphoma,B_cell_lymphoma,DLBC,MSI-H,R,Suspension
VAL,1331048,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
WSU-DLCL2,1331050,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
BL-41,910706,lymphoma,Burkitt_lymphoma,,MSS/MSI-L,R,Suspension
CA46,910703,lymphoma,Burkitt_lymphoma,,MSS/MSI-L,R,Suspension
Daudi,906831,lymphoma,Burkitt_lymphoma,,MSS/MSI-L,R,Suspension
DG-75,906838,lymphoma,Burkitt_lymphoma,,MSI-H,R,Suspension
EB2,906846,lymphoma,Burkitt_lymphoma,,MSS/MSI-L,R,Suspension
EB-3,906847,lymphoma,Burkitt_lymphoma,,MSS/MSI-L,R,Suspension
GA-10,1303896,lymphoma,Burkitt_lymphoma,,MSS/MSI-L,R,Suspension
JiyoyeP-2003,907268,lymphoma,Burkitt_lymphoma,,MSS/MSI-L,R,Suspension
NAMALWA,908159,lymphoma,Burkitt_lymphoma,,MSS/MSI-L,R,Suspension
P32-ISH,1330987,lymphoma,Burkitt_lymphoma,,MSS/MSI-L,R,Suspension
Raji,909262,lymphoma,Burkitt_lymphoma,,MSS/MSI-L,R,Suspension
Ramos-2G6-4C10,910401,lymphoma,Burkitt_lymphoma,,MSS/MSI-L,R,Suspension
ST486,910906,lymphoma,Burkitt_lymphoma,,MSS/MSI-L,R,Suspension
BV-173,910710,leukemia,chronic_myeloid_leukaemia,LCML,MSS/MSI-L,R,Suspension
CML-T1,910951,leukemia,chronic_myeloid_leukaemia,LCML,MSS/MSI-L,D/F12,Suspension
EM-2,906855,leukemia,chronic_myeloid_leukaemia,LCML,MSS/MSI-L,R,Suspension
JURL-MK1,1327771,leukemia,chronic_myeloid_leukaemia,LCML,MSS/MSI-L,R,Suspension
K-562,905940,leukemia,chronic_myeloid_leukaemia,LCML,MSS/MSI-L,D/F12,Suspension
KCL-22,1330931,leukemia,chronic_myeloid_leukaemia,LCML,MSI-H,R,Suspension
KU812,907311,leukemia,chronic_myeloid_leukaemia,LCML,MSS/MSI-L,R,Suspension
LAMA-84,907783,leukemia,chronic_myeloid_leukaemia,LCML,MSS/MSI-L,R,Suspension
MEG-01,908126,leukemia,chronic_myeloid_leukaemia,LCML,MSS/MSI-L,R,Suspension
RPMI-8866,910544,leukemia,chronic_myeloid_leukaemia,LCML,MSS/MSI-L,R,Suspension
AMO-1,1295741,myeloma,haematopoietic_neoplasm other,MM,MSS/MSI-L,R,Suspension
EoL-1-cell,906856,leukemia,haematopoietic_neoplasm other,,MSS/MSI-L,R,Suspension
JJN-3,1327766,myeloma,haematopoietic_neoplasm other,MM,MSS/MSI-L,D/F12,Suspension
KARPAS-620,1327775,myeloma,haematopoietic_neoplasm other,MM,MSS/MSI-L,R,Suspension
MC-CAR,683665,myeloma,haematopoietic_neoplasm other,MM,MSS/MSI-L,D/F12,Suspension
SKM-1,909722,leukemia,haematopoietic_neoplasm other,,MSS/MSI-L,R,Suspension
HC-1,907044,leukemia,hairy_cell_leukaemia,,MSS/MSI-L,R,Suspension
MLMA,908142,leukemia,hairy_cell_leukaemia,,MSS/MSI-L,R,Semi-Adherent
Mo-T,908149,leukemia,hairy_cell_leukaemia,,MSS/MSI-L,D/F12,Suspension
HDLM-2,924110,lymphoma,Hodgkin_lymphoma,,MSS/MSI-L,R,Suspension
HD-MY-Z,907050,lymphoma,Hodgkin_lymphoma,,MSS/MSI-L,R,Adherent
Hs-445,1322218,lymphoma,Hodgkin_lymphoma,,MSS/MSI-L,R,Suspension
KM-H2,909976,lymphoma,Hodgkin_lymphoma,,MSS/MSI-L,R,Suspension
L-1236,1330935,lymphoma,Hodgkin_lymphoma,,MSS/MSI-L,R,Suspension
L-428,907322,lymphoma,Hodgkin_lymphoma,,MSS/MSI-L,R,Suspension
L-540,907323,lymphoma,Hodgkin_lymphoma,,MSS/MSI-L,R,Suspension
RPMI-6666,909701,lymphoma,Hodgkin_lymphoma,,MSS/MSI-L,R,Suspension
SUP-HD1,1331039,lymphoma,Hodgkin_lymphoma,,MSS/MSI-L,R,Suspension
KY821,907300,leukemia,leukemia,LAML,MSS/MSI-L,R,Suspension
MV-4-11,908156,leukemia,leukemia,,MSS/MSI-L,D/F12,Suspension
RS4-11,909703,leukemia,leukemia,ALL,MSI-H,R,Suspension
697,906800,leukemia,lymphoblastic_leukemia,,MSS/MSI-L,R,Suspension
ALL-PO,910944,leukemia,lymphoblastic_leukemia,ALL,MSS/MSI-L,R,Suspension
BE-13,906763,leukemia,lymphoblastic_leukemia,ALL,MSS/MSI-L,R,Suspension
CCRF-CEM,905952,leukemia,lymphoblastic_leukemia,ALL,MSS/MSI-L,R,Suspension
GR-ST,906877,leukemia,lymphoblastic_leukemia,ALL,MSI-H,R,Suspension
HAL-01,949153,leukemia,lymphoblastic_leukemia,ALL,MSS/MSI-L,R,Suspension
KARPAS-45,907272,leukemia,lymphoblastic_leukemia,ALL,MSS/MSI-L,R,Suspension
KE-37,907277,leukemia,lymphoblastic_leukemia,ALL,MSS/MSI-L,R,Suspension
LC4-1,907787,leukemia,lymphoblastic_leukemia,ALL,MSS/MSI-L,R,Suspension
MOLT-4,905958,leukemia,lymphoblastic_leukemia,ALL,MSI-H,R,Suspension
P30-OHK,909252,leukemia,lymphoblastic_leukemia,ALL,MSI-H,R,Suspension
SUP-B15,1247871,leukemia,lymphoblastic_leukemia,ALL,MSS/MSI-L,D/F12,Suspension
ATN-1,910687,leukemia,lymphoblastic_T_cell_leukaemia,ALL,MSS/MSI-L,R,Suspension
LOUCY,907789,leukemia,lymphoblastic_T_cell_leukaemia,ALL,MSS/MSI-L,R,Suspension
MOLT-13,908146,leukemia,lymphoblastic_T_cell_leukaemia,ALL,MSI-H,R,Suspension
MOLT-16,908147,leukemia,lymphoblastic_T_cell_leukaemia,ALL,MSS/MSI-L,R,Suspension
P12-ICHIKAWA,909251,leukemia,lymphoblastic_T_cell_leukaemia,ALL,MSS/MSI-L,R,Suspension
PF-382,909260,leukemia,lymphoblastic_T_cell_leukaemia,ALL,MSS/MSI-L,R,Suspension
RPMI-8402,909702,leukemia,lymphoblastic_T_cell_leukaemia,ALL,MSS/MSI-L,R,Suspension
SUP-T1,909743,leukemia,lymphoblastic_T_cell_leukaemia,ALL,MSS/MSI-L,R,Suspension
DEL,906836,lymphoma,lymphoid_neoplasm other,,MSS/MSI-L,R,Suspension
EHEB,906854,lymphoma,lymphoid_neoplasm other,CLL,MSS/MSI-L,R,Suspension
EJM,1297447,myeloma,lymphoid_neoplasm other,MM,MSS/MSI-L,D/F12,Semi-Adherent
H9,907043,lymphoma,lymphoid_neoplasm other,,MSS/MSI-L,R,Suspension
JVM-2,907269,lymphoma,lymphoid_neoplasm other,CLL,MSS/MSI-L,R,Suspension
JVM-3,907270,lymphoma,lymphoid_neoplasm other,CLL,MSS/MSI-L,R,Suspension
SR,905965,lymphoma,lymphoid_neoplasm other,,MSS/MSI-L,R,Suspension
WIL2-NS,1331049,lymphoma,lymphoid_neoplasm other,,MSS/MSI-L,R,Suspension
WSU-NHL,909785,lymphoma,lymphoid_neoplasm other,,MSI-H,R,Suspension
YT,946358,lymphoma,lymphoid_neoplasm other,ALL,MSS/MSI-L,D/F12,Suspension
ARH-77,906765,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension
IM-9,753563,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension
KMS-12-BM,907281,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension
L-363,924239,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension
LP-1,907791,myeloma,myeloma,MM,MSS/MSI-L,D/F12,Suspension
MM1S,1659818,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension
MOLP-8,1330950,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension
NCI-H929,724825,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension
OPM-2,909249,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension
RPMI-8226,905964,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension
SK-MM-2,753612,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension
U-266,753615,myeloma,myeloma,MM,MSS/MSI-L,R,Semi-Adherent
ALL-SIL,1295740,leukemia,T_cell_leukemia,ALL,MSS/MSI-L,R,Suspension
DND-41,1297446,leukemia,T_cell_leukemia,ALL,MSI-H,R,Suspension
HH,907056,leukemia,T_cell_leukemia,,MSS/MSI-L,R,Suspension
Jurkat,998184,leukemia,T_cell_leukemia,ALL,MSI-H,R,Suspension
CS1,1290795,bone,bone_other,,MSS/MSI-L,R,Adherent
SJSA-1,909717,bone,bone_other,,MSS/MSI-L,R,Adherent
CAL-78,1290765,bone,chondrosarcoma,,MSS/MSI-L,R+10,Adherent
CHSA8926,1303912,bone,chondrosarcoma,,MSS/MSI-L,R,Adherent
H-EMC-SS,907290,bone,chondrosarcoma,,MSS/MSI-L,D/F12+10,Adherent
CADO-ES1,753539,bone,ewings_sarcoma,,MSS/MSI-L,R,Suspension
ES1,949158,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent
ES3,684055,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent
ES4,949156,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent
ES5,684057,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent
