sample,COSMIC,GDSC1,GDSC2,TCGA,MSI,medium,growth
ES7,684059,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent
ES8,949155,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent
EW-1,949163,bone,ewings_sarcoma,,MSS/MSI-L,R,Semi-Adherent
EW-11,684062,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent
EW-12,949162,bone,ewings_sarcoma,,MSS/MSI-L,R,Suspension
EW-13,949166,bone,ewings_sarcoma,,MSS/MSI-L,R,Suspension
EW-16,949165,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent
EW-18,949164,bone,ewings_sarcoma,,MSS/MSI-L,R,Suspension
EW-22,949167,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent
EW-24,949168,bone,ewings_sarcoma,,MSS/MSI-L,R,Semi-Adherent
EW-3,949161,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent
EW-7,949160,bone,ewings_sarcoma,,MSS/MSI-L,R,Semi-Adherent
SK-ES-1,684072,bone,ewings_sarcoma,,MSS/MSI-L,R,Semi-Adherent
SK-PN-DW,909731,bone,ewings_sarcoma,,MSS/MSI-L,D/F12,Adherent
TC-71,1240221,bone,ewings_sarcoma,,MSS/MSI-L,D/F12,Adherent
CAL-72,906827,bone,osteosarcoma,,MSS/MSI-L,D/F12,Adherent
G-292 Clone A141B1,1290807,bone,osteosarcoma,,MSS/MSI-L,R,Adherent
HOS,907060,bone,osteosarcoma,,MSS/MSI-L,D/F12,Adherent
HuO-3N1,909977,bone,osteosarcoma,,MSS/MSI-L,R+10,Adherent
HuO9,907072,bone,osteosarcoma,,MSS/MSI-L,R,Adherent
MG-63,908131,bone,osteosarcoma,,MSS/MSI-L,D/F12,Adherent
NOS-1,925345,bone,osteosarcoma,,MSS/MSI-L,R,Adherent
NY,910849,bone,osteosarcoma,,MSS/MSI-L,D/F12,Adherent
Saos-2,909707,bone,osteosarcoma,,MSS/MSI-L,R,Adherent
U-2-OS,909776,bone,osteosarcoma,,MSS/MSI-L,R,Adherent
AU565,910704,breast,breast,BRCA,MSS/MSI-L,R,Adherent
BT-20,906801,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent
BT-474,946359,breast,breast,BRCA,MSS/MSI-L,R,Adherent
BT-483,949093,breast,breast,BRCA,MSS/MSI-L,R,Adherent
BT-549,905951,breast,breast,BRCA,MSS/MSI-L,R,Adherent
CAL-120,906826,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent
CAL-148,924106,breast,breast,BRCA,MSS/MSI-L,D/F12,Suspension
CAL-51,910927,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent
CAL-85-1,910852,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent
CAMA-1,946382,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent
COLO-824,906812,breast,breast,BRCA,MSS/MSI-L,R,Adherent
DU-4475,906844,breast,breast,BRCA,MSS/MSI-L,R,Suspension
EFM-19,906851,breast,breast,BRCA,MSS/MSI-L,R,Adherent
EFM-192A,1290798,breast,breast,BRCA,MSS/MSI-L,R,Adherent
EVSA-T,906862,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent
HCC1143,749710,breast,breast,BRCA,MSS/MSI-L,R,Adherent
HCC1187,749711,breast,breast,BRCA,MSS/MSI-L,R,Suspension
HCC1395,749712,breast,breast,BRCA,MSS/MSI-L,R,Adherent
HCC1419,907045,breast,breast,BRCA,MSS/MSI-L,R,Adherent
HCC1428,1290905,breast,breast,BRCA,MSS/MSI-L,R,Adherent
HCC1500,1303900,breast,breast,BRCA,MSS/MSI-L,R,Adherent
HCC1569,907046,breast,breast,BRCA,MSI-H,R,Adherent
HCC1599,749713,breast,breast,BRCA,MSS/MSI-L,R,Suspension
HCC1806,907047,breast,breast,,MSS/MSI-L,R,Adherent
HCC1937,749714,breast,breast,BRCA,MSS/MSI-L,R,Adherent
HCC1954,749709,breast,breast,BRCA,MSS/MSI-L,R,Adherent
HCC202,1290906,breast,breast,BRCA,MSS/MSI-L,R,Adherent
HCC2157,749715,breast,breast,BRCA,MSS/MSI-L,D/F12,Suspension
HCC2218,749716,breast,breast,BRCA,MSS/MSI-L,R,Suspension
HCC38,749717,breast,breast,BRCA,MSS/MSI-L,R,Adherent
HCC70,907048,breast,breast,BRCA,MSS/MSI-L,R,Adherent
HDQ-P1,1290922,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent
Hs-578-T,905957,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent
MCF7,905946,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent
MDA-MB-157,925338,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent
MDA-MB-231,905960,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent
MDA-MB-330,1330941,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent
MDA-MB-361,908121,breast,breast,BRCA,MSS/MSI-L,D/F12+10,Adherent
MDA-MB-415,924240,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent
MDA-MB-436,1240172,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent
MDA-MB-453,908122,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent
MDA-MB-468,908123,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent
MFM-223,910948,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent
MRK-nu-1,908151,breast,breast,BRCA,MSS/MSI-L,D/F12,Suspension
OCUB-M,909256,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent
T47D,905945,breast,breast,BRCA,MSS/MSI-L,R,Adherent
UACC-812,910910,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent
UACC-893,909778,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent
ZR-75-30,909907,breast,breast,BRCA,MSS/MSI-L,R,Adherent
EGI-1,906853,digestive_system,biliary_tract,,MSS/MSI-L,D/F12,Adherent
ETK-1,906861,digestive_system,biliary_tract,,MSS/MSI-L,R,Adherent
HuCCT1,907069,digestive_system,biliary_tract,,MSS/MSI-L,R,Adherent
TGBC1TKB,909769,digestive_system,biliary_tract,,MSS/MSI-L,D/F12,Adherent
TGBC24TKB,910695,digestive_system,biliary_tract,,MSS/MSI-L,D/F12,Adherent
HUTU-80,907073,digestive_system,digestive_system_other,,MSS/MSI-L,D/F12,Adherent
C2BBe1,910700,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent
CaR-1,924108,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent
CCK-81,1240123,large_intestine,large_intestine,COAD/READ,MSI-H,R,Adherent
CL-11,1290769,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent
CL-40,1240124,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent
COLO-205,905961,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Suspension
COLO-320-HSR,910569,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Suspension
COLO-678,910689,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Semi-Adherent
CW-2,910554,large_intestine,large_intestine,COAD/READ,MSI-H,R,Adherent
GP5d,907291,large_intestine,large_intestine,COAD/READ,MSI-H,D/F12,Adherent
HCC2998,905971,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Adherent
HCC-56,1290907,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Adherent
HCT-116,905936,large_intestine,large_intestine,COAD/READ,MSI-H,R,Adherent
HCT-15,905937,large_intestine,large_intestine,COAD/READ,MSI-H,R,Adherent
HT-115,907289,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent
HT-29,905939,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Adherent
HT55,907287,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent
KM12,905989,large_intestine,large_intestine,COAD/READ,MSI-H,R,Adherent
LoVo,907790,large_intestine,large_intestine,COAD/READ,MSI-H,D/F12,Adherent
LS-1034,917486,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Adherent
LS-123,907792,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent
LS-180,998189,large_intestine,large_intestine,COAD/READ,MSI-H,D/F12,Adherent
LS-411N,907794,large_intestine,large_intestine,COAD/READ,MSI-H,R,Adherent
LS-513,907795,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Adherent
MDST8,1240173,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Adherent
NCI-H630,908482,large_intestine,large_intestine,COAD/READ,MSI-H,D/F12,Adherent
NCI-H716,908458,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Suspension
NCI-H747,908457,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Adherent
RCM-1,909263,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Adherent
RKO,909698,large_intestine,large_intestine,COAD/READ,MSI-H,D/F12,Adherent
SK-CO-1,909718,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Adherent
SNU-1040,1659823,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Adherent
SNU-175,1659928,large_intestine,large_intestine,COAD/READ,MSI-H,R,Suspension
SNU-407,1660034,large_intestine,large_intestine,COAD/READ,MSI-H,R,Adherent
SNU-61,1660035,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Adherent
SNU-81,1660036,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Adherent
SNU-C1,910905,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Suspension
SNU-C2B,909740,large_intestine,large_intestine,COAD/READ,MSI-H,R,Adherent
SNU-C5,1674021,large_intestine,large_intestine,COAD/READ,MSI-H,R,Adherent
SW1116,909746,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent
SW1417,909747,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent
SW1463,909748,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent
SW48,909751,large_intestine,large_intestine,COAD/READ,MSI-H,D/F12,Adherent
SW837,909755,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent
SW948,909757,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent
T84,909761,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent
C3A,910850,digestive_system,liver,LIHC,MSS/MSI-L,D/F12,Adherent
Hep 3B2_1-7,1240147,digestive_system,liver,LIHC,MSS/MSI-L,D/F12+10,Adherent
HLE,907057,digestive_system,liver,LIHC,MSS/MSI-L,D/F12,Adherent
huH-1,1298146,digestive_system,liver,LIHC,MSS/MSI-L,D/F12,Adherent
HuH-7,907071,digestive_system,liver,LIHC,MSS/MSI-L,D/F12+10,Adherent
JHH-1,1298151,digestive_system,liver,LIHC,MSS/MSI-L,D/F12,Adherent
JHH-6,1240159,digestive_system,liver,LIHC,MSS/MSI-L,D/F12,Adherent
JHH-7,1240160,digestive_system,liver,LIHC,MSS/MSI-L,D/F12,Adherent
SK-HEP-1,909719,digestive_system,liver,LIHC,MSS/MSI-L,D/F12,Adherent
SNU-182,1240216,digestive_system,liver,LIHC,MSS/MSI-L,R,Adherent
SNU-387,909736,digestive_system,liver,LIHC,MSS/MSI-L,R,Adherent
SNU-398,1240217,digestive_system,liver,LIHC,MSS/MSI-L,R,Adherent
SNU-423,909737,digestive_system,liver,LIHC,MSS/MSI-L,R,Adherent
SNU-449,909738,digestive_system,liver,LIHC,MSS/MSI-L,R,Adherent
SNU-475,909739,digestive_system,liver,LIHC,MSS/MSI-L,R,Adherent
23132-87,910924,digestive_system,stomach,STAD,MSI-H,R,Adherent
AGS,906790,digestive_system,stomach,STAD,MSS/MSI-L,D/F12,Adherent
ECC10,906848,digestive_system,stomach,,MSS/MSI-L,R,Suspension
ECC12,906849,digestive_system,stomach,,MSS/MSI-L,R,Suspension
FU97,1290806,digestive_system,stomach,STAD,MSS/MSI-L,D/F12,Adherent
GCIY,906869,digestive_system,stomach,STAD,MSS/MSI-L,D/F12,Adherent
GT3TKB,907041,digestive_system,stomach,STAD,MSS/MSI-L,D/F12,Adherent
HGC-27,907055,digestive_system,stomach,STAD,MSS/MSI-L,D/F12,Adherent
Hs746T,1240151,digestive_system,stomach,STAD,MSS/MSI-L,D/F12,Adherent
HSC-39,1322224,digestive_system,stomach,STAD,MSS/MSI-L,D/F12,Suspension
IM-95,1240155,digestive_system,stomach,STAD,MSS/MSI-L,R,Adherent
KATOIII,907276,digestive_system,stomach,STAD,MSS/MSI-L,D/F12,Semi-Adherent
MKN1,908138,digestive_system,stomach,,MSS/MSI-L,R,Adherent
MKN28,908139,digestive_system,stomach,STAD,MSS/MSI-L,R,Adherent
MKN45,925340,digestive_system,stomach,STAD,MSS/MSI-L,R,Adherent
MKN7,924250,digestive_system,stomach,STAD,MSS/MSI-L,R,Adherent
NCI-N87,908461,digestive_system,stomach,STAD,MSS/MSI-L,R,Adherent
NCI-SNU-1,908444,digestive_system,stomach,STAD,MSI-H,R,Suspension
NCI-SNU-16,908446,digestive_system,stomach,STAD,MSS/MSI-L,R,Suspension
NCI-SNU-5,908445,digestive_system,stomach,STAD,MSS/MSI-L,D/F12,Suspension
NUGC-3,908455,digestive_system,stomach,STAD,MSI-H,R,Adherent
NUGC-4,1298357,digestive_system,stomach,STAD,MSS/MSI-L,R,Adherent
OCUM-1,1298358,digestive_system,stomach,STAD,MSS/MSI-L,D/F12,Adherent
RERF-GC-1B,1240209,digestive_system,stomach,STAD,MSS/MSI-L,R,Adherent
RF-48,909697,digestive_system,stomach,STAD,MSS/MSI-L,D/F12,Adherent
SCH,909711,digestive_system,stomach,,MSS/MSI-L,R,Adherent
SK-GT-2,1503364,digestive_system,stomach,STAD,MSS/MSI-L,R,Adherent
TGBC11TKB,909770,digestive_system,stomach,STAD,MSI-H,D/F12,Adherent
SW13,909744,kidney,adrenal_gland,ACC,MSS/MSI-L,D/F12,Adherent
769-P,910922,kidney,kidney,KIRC,MSS/MSI-L,R,Adherent
786-0,905947,kidney,kidney,KIRC,MSS/MSI-L,R,Adherent
A498,905948,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent
A704,910920,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent
ACHN,905950,kidney,kidney,KIRC,MSS/MSI-L,R,Adherent
BB65-RCC,753533,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent
BFTC-909,910698,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent
CAKI-1,905963,kidney,kidney,KIRC,MSS/MSI-L,R,Adherent
CAL-54,910952,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent
G-401,907299,kidney,kidney,,MSS/MSI-L,R,Adherent
HA7-RCC,753558,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent
KMRC-1,1298168,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent
KMRC-20,1298169,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent
LB1047-RCC,753577,kidney,kidney,KIRC,MSI-H,D/F12,Adherent
LB2241-RCC,753578,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent
LB996-RCC,753585,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent
NCC010,1509073,kidney,kidney,KIRC,MSS/MSI-L,R,Adherent
NCC021,1509074,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent
OS-RC-2,909250,kidney,kidney,KIRC,MSS/MSI-L,R,Adherent
RCC10RGB,909974,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent
RCC-AB,1524418,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent
RCC-ER,1524417,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent
RCC-FG2,1524414,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent
RCC-JW,1524416,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent
RCC-MF,1524419,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent
RXF393,905978,kidney,kidney,KIRC,MSS/MSI-L,R,Adherent
SN12C,905979,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent
TK10,905980,kidney,kidney,KIRC,MSS/MSI-L,R,Adherent
U031,905981,kidney,kidney,KIRC,MSS/MSI-L,R,Adherent
VMRC-RCZ,909781,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent
201T,1287381,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
A549,905949,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent
ABC-1,906791,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent
Calu-3,687777,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent
Calu-6,724859,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent
COR-L105,906805,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
EKVX,905970,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent
EMC-BAC-1,1503369,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
EMC-BAC-2,1503370,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
H3255,1247873,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
HCC-44,1240145,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
HCC-78,1290908,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
HCC-827,1240146,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
LC-2-ad,907786,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
LXF-289,753592,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent
NCI-H1355,724866,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent
NCI-H1395,684681,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
NCI-H1435,1298347,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Semi-Adherent
NCI-H1563,753600,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
NCI-H1568,1298348,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
NCI-H1573,908472,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent
NCI-H1623,687798,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent
NCI-H1648,687799,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent
NCI-H1650,687800,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
NCI-H1651,910900,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent
NCI-H1666,908473,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Semi-Adherent
NCI-H1693,687802,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R+10,Adherent
NCI-H1703,908474,lung_NSCLC,lung_NSCLC_adenocarcinoma,,MSS/MSI-L,R,Adherent
NCI-H1734,722058,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
NCI-H1755,908475,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
NCI-H1781,1298350,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
NCI-H1792,724868,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
NCI-H1793,908463,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent
NCI-H1838,687807,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
NCI-H1944,1240185,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent
NCI-H1975,924244,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
NCI-H1993,908476,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
NCI-H2009,724873,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent
NCI-H2023,1240187,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
NCI-H2030,722045,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
NCI-H2085,687812,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent
NCI-H2087,724834,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Semi-Adherent
NCI-H2122,722046,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
NCI-H2228,687816,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
NCI-H2291,724874,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
NCI-H23,905942,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
NCI-H2342,687819,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent
NCI-H2347,687820,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
NCI-H2405,687821,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent
NCI-H292,753604,lung_NSCLC,lung_NSCLC_adenocarcinoma,,MSS/MSI-L,R,Adherent
NCI-H3122,1240190,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
