pair,cluster
GTF2H1_MNAT1,0
GTF2E2_GTF2E1,1
GTF2F2_GTF2F1,1
GTF2H1_ERCC3,1
GTF2H1_GTF2H4,1
EIF3A_EIF3L,2
EIF3A_EIF3H,2
EIF3A_EIF3D,2
EIF3A_EIF3E,2
ILF3_ILF2,3
RPS14_EEF2,3
U2AF1_RPL10,3
RPA2_RPA1,4
RPA2_RPA3,4
TOP1_RPA3,4
COG6_COG2,5
COG3_COG2,5
COG3_COG4,5
AP3S1_AP3M1,6
AP3B1_AP3M1,6
AP3B1_AP3M2,6
THOC3_TFIP11,0
DDX41_TFIP11,7
GPATCH1_DHX35,7
HNRNPH1_TFIP11,7
POLD3_POLD1,8
POLD3_POLD2,8
CAPZB_CAPZA1,9
MPP5_INADL,9
GSPT1_ETF1,0
ERCC4_ERCC1,0
EEF1E1_MARS,0
CD3EAP_POLR1E,0
CCNT1_CDK9,0
AP1M1_AP1M2,0
ASCC3_ASCC1,0
PFDN4_PFDN6,0
HNRNPC_SSRP1,0
LMNB1_SMARCC1,0
PRMT5_WDR77,0
POP1_POP4,0
PPP2R2A_PPP2R1A,0
VPS36_SNF8,0
UBA2_SAE1,0
TTC37_SKIV2L,0
SUPT5H_SUPT4H1,0
SMARCA2_SMARCA4,0
SUPT16H_SSRP1,0
XRCC6_XRCC5,0
ATM_RAD50,0
MRE11A_RAD50,0